Numero_do_alimento,Descrio_do_alimento,Umidade,Energia,Proteina,Carboidrato,Categoria_do_alimento
1,Arroz_integral_cozido,70.1,124,2.6,25.8,Cereais_e_derivados
8,Biscoito_doce_maisena,3.2,443,8.1,75.2,Cereais_e_derivados
14,Bolo_mistura_para,1.0,419,6.2,84.7,Cereais_e_derivados
19,Canjica_branca_crua,13.6,358,7.2,78.1,Cereais_e_derivados
27,Creme_de_arroz_p,7.3,386,7.0,83.9,Cereais_e_derivados
21,Cereais_milho_flocos_com_sal,9.3,370,7.2,80.8,Cereais_e_derivados
29,Cacau_milho_verde_mistura_para,3.9,402,2.2,79.8,Cereais_e_derivados
31,Farinha_de_arroz_enriquecida,12.7,363,1.3,85.5,Cereais_e_derivados
25,Cereal_matinal_milho,5.5,365,7.2,83.8,Cereais_e_derivados
30,Curau_milho_verde_mistura_para,3.9,402,2.2,79.8,Cereais_e_derivados
64,Abobora_cabotian_cozida,86.4,48,1.4,10.8,Verduras_hortalias_e_derivados
70,Abobrinha_italiana_cozida,95.3,15,1.1,3.0,Verduras_hortalias_e_derivados
74,Alcega_crua,93.2,21,1.4,4.6,Verduras_hortalias_e_derivados
88,Batata_doce_cozida,80.4,77,0.6,18.4,Verduras_hortalias_e_derivados
92,Batata_inglesa_crua,82.9,64,1.8,14.7,Verduras_hortalias_e_derivados
77,Alface_americana_crua,97.2,9,0.6,1.7,Verduras_hortalias_e_derivados
80,Alface_roxa_crua,95.7,13,0.9,2.5,Verduras_hortalias_e_derivados
69,Abobora_pescoo_crua,92.5,24,0.7,6.1,Verduras_hortalias_e_derivados
86,Batata_baroa_cozida,79.3,80,0.9,18.9,Verduras_hortalias_e_derivados
75,Agriao_cru,93.9,17,2.7,2.3,Verduras_hortalias_e_derivados
163,Abacate_cru,83.8,96,1.2,6.0,Frutas_e_derivados
166,Abiu_cru,83.1,62,0.8,14.9,Frutas_e_derivados
170,Acerola_polpa_congelada,93.6,22,0.6,5.5,Frutas_e_derivados
172,Ameixa_crua,84.8,53,0.8,13.9,Frutas_e_derivados
177,Banana_figo_crua,70.1,105,1.1,27.8,Frutas_e_derivados
184,Caja-manga_cru,86.9,46,1.3,11.4,Frutas_e_derivados
187,Caju_polpa_congelada,89.8,37,0.5,9.4,Frutas_e_derivados
173,Ameixa_em_calda_enlatada_drenada,50.3,177,1.0,47.7,Frutas_e_derivados
182,Banana_prata_crua,71.9,98,1.3,26.0,Frutas_e_derivados
175,Banana_da_terra_crua,63.9,128,1.4,33.7,Frutas_e_derivados
259,Azeite_de_dende,NA,884,NA,NA,Gorduras_e_oleos
262,Manteiga_sem_sal,13.6,758,0.4,0.0,Gorduras_e_oleos
265,Margarina_com_oleo_interesterificado_com_sal_(65%_de_lipideos),32.0,594,Tr,0.0,Gorduras_e_oleos
267,Oleo_de_babau,NA,884,NA,NA,Gorduras_e_oleos
270,Oleo_de_milho,NA,884,NA,NA,Gorduras_e_oleos
260,Azeite_de_olivia_extra_virgem,NA,884,NA,NA,Gorduras_e_oleos
272,Oleo_de_soja,NA,884,NA,NA,Gorduras_e_oleos
263,Margarina_com_oleo_hidrogenado_com_sal_(65%_de_lipideos),32.2,596,Tr,0.0,Gorduras_e_oleos
268,Oleo_de_canola,NA,884,NA,NA,Gorduras_e_oleos
266,Margarina_com_oleo_interesterificado_sem_sal_(65%_de_lipideos),33.4,593,Tr,0.0,Gorduras_e_oleos
